dimension,block,y_section_min,count
nether,minecraft:gravel,0,24138
nether,minecraft:gravel,16,16994
nether,minecraft:gravel,32,7917
nether,minecraft:nether_quartz_ore,0,7870
nether,minecraft:nether_quartz_ore,16,10759
nether,minecraft:nether_quartz_ore,32,7186
nether,minecraft:nether_quartz_ore,48,7527
nether,minecraft:nether_quartz_ore,64,7080
nether,minecraft:nether_quartz_ore,80,7205
nether,minecraft:nether_quartz_ore,96,8349
nether,minecraft:nether_quartz_ore,112,5674
overworld,actuallyadditions:black_quartz_ore,-32,65
overworld,actuallyadditions:black_quartz_ore,-16,554
overworld,actuallyadditions:black_quartz_ore,0,558
overworld,actuallyadditions:black_quartz_ore,16,532
overworld,actuallyadditions:black_quartz_ore,32,525
overworld,actuallyadditions:black_quartz_ore,48,208
overworld,actuallyadditions:black_quartz_ore,64,46
overworld,chisel:limestone/raw,16,3168
overworld,chisel:limestone/raw,32,24603
overworld,chisel:limestone/raw,48,9786
overworld,chisel:limestone/raw,64,2295
overworld,chisel:marble/raw,0,5162
overworld,chisel:marble/raw,16,50619
overworld,chisel:marble/raw,32,48201
overworld,chisel:marble/raw,48,20364
overworld,chisel:marble/raw,64,177
overworld,draconicevolution:deepslate_draconium_ore,-64,382
overworld,draconicevolution:deepslate_draconium_ore,-48,1
overworld,immersiveengineering:deepslate_ore_aluminum,-16,193
overworld,immersiveengineering:deepslate_ore_aluminum,0,500
overworld,immersiveengineering:deepslate_ore_uranium,-64,2578
overworld,immersiveengineering:deepslate_ore_uranium,-48,2962
overworld,immersiveengineering:deepslate_ore_uranium,-32,2698
overworld,immersiveengineering:deepslate_ore_uranium,-16,2501
overworld,immersiveengineering:deepslate_ore_uranium,0,699
overworld,immersiveengineering:ore_aluminum,0,1222
overworld,immersiveengineering:ore_aluminum,16,1765
overworld,immersiveengineering:ore_aluminum,32,1637
overworld,immersiveengineering:ore_aluminum,48,774
overworld,immersiveengineering:ore_aluminum,64,112
overworld,immersiveengineering:ore_uranium,-48,2
overworld,immersiveengineering:ore_uranium,-32,26
overworld,immersiveengineering:ore_uranium,-16,34
overworld,immersiveengineering:ore_uranium,0,1852
overworld,immersiveengineering:ore_uranium,16,2391
overworld,immersiveengineering:ore_uranium,32,3
overworld,mekanism:deepslate_osmium_ore,-48,243
overworld,mekanism:deepslate_osmium_ore,-32,2633
overworld,mekanism:deepslate_osmium_ore,-16,2728
overworld,mekanism:deepslate_osmium_ore,0,699
overworld,mekanism:osmium_ore,-48,2
overworld,mekanism:osmium_ore,-32,16
overworld,mekanism:osmium_ore,-16,12
overworld,mekanism:osmium_ore,0,1856
overworld,mekanism:osmium_ore,16,2501
overworld,mekanism:osmium_ore,32,2235
overworld,mekanism:osmium_ore,48,848
overworld,mekanism:osmium_ore,64,3
overworld,minecraft:andesite,-48,1239
overworld,minecraft:andesite,-32,8977
overworld,minecraft:andesite,-16,11336
overworld,minecraft:andesite,0,9837
overworld,minecraft:andesite,16,10392
overworld,minecraft:andesite,32,9481
overworld,minecraft:andesite,48,5156
overworld,minecraft:andesite,64,473
overworld,minecraft:basalt,-48,4181
overworld,minecraft:basalt,-32,40146
overworld,minecraft:basalt,-16,41751
overworld,minecraft:basalt,0,39088
overworld,minecraft:basalt,16,37409
overworld,minecraft:basalt,32,774
overworld,minecraft:coal_ore,-32,26
overworld,minecraft:coal_ore,-16,58
overworld,minecraft:coal_ore,0,10344
overworld,minecraft:coal_ore,16,13497
overworld,minecraft:coal_ore,32,12223
overworld,minecraft:coal_ore,48,5422
overworld,minecraft:coal_ore,64,1325
overworld,minecraft:deepslate_coal_ore,-48,1326
overworld,minecraft:deepslate_coal_ore,-32,14317
overworld,minecraft:deepslate_coal_ore,-16,14216
overworld,minecraft:deepslate_coal_ore,0,3731
