dimension,block,y_section_min,count
end,draconicevolution:end_draconium_ore,0,36
end,draconicevolution:end_draconium_ore,16,941
end,draconicevolution:end_draconium_ore,32,1059
end,draconicevolution:end_draconium_ore,48,803
end,draconicevolution:end_draconium_ore,64,6
nether,draconicevolution:nether_draconium_ore,0,2569
nether,draconicevolution:nether_draconium_ore,16,123
nether,minecraft:basalt,0,156691
nether,minecraft:basalt,16,90460
nether,minecraft:basalt,32,40919
nether,minecraft:basalt,48,81398
nether,minecraft:basalt,64,36355
nether,minecraft:basalt,80,23113
nether,minecraft:basalt,96,89701
nether,minecraft:basalt,112,92164
nether,minecraft:gravel,0,59595
nether,minecraft:gravel,16,50421
nether,minecraft:gravel,32,17464
nether,minecraft:nether_quartz_ore,0,21092
nether,minecraft:nether_quartz_ore,16,28078
nether,minecraft:nether_quartz_ore,32,20457
nether,minecraft:nether_quartz_ore,48,22009
nether,minecraft:nether_quartz_ore,64,22171
nether,minecraft:nether_quartz_ore,80,22434
nether,minecraft:nether_quartz_ore,96,24811
nether,minecraft:nether_quartz_ore,112,15234
overworld,actuallyadditions:black_quartz_ore,-32,106
overworld,actuallyadditions:black_quartz_ore,-16,1038
overworld,actuallyadditions:black_quartz_ore,0,938
overworld,actuallyadditions:black_quartz_ore,16,1004
overworld,actuallyadditions:black_quartz_ore,32,792
overworld,actuallyadditions:black_quartz_ore,48,494
overworld,actuallyadditions:black_quartz_ore,64,124
overworld,chisel:limestone/raw,16,5799
overworld,chisel:limestone/raw,32,39774
overworld,chisel:limestone/raw,48,22000
overworld,chisel:limestone/raw,64,6443
overworld,chisel:limestone/raw,80,60
overworld,chisel:marble/raw,0,8771
overworld,chisel:marble/raw,16,99414
overworld,chisel:marble/raw,32,78171
overworld,chisel:marble/raw,48,47745
overworld,chisel:marble/raw,64,413
overworld,draconicevolution:deepslate_draconium_ore,-64,800
overworld,draconicevolution:deepslate_draconium_ore,-48,1
overworld,immersiveengineering:deepslate_ore_aluminum,-16,294
overworld,immersiveengineering:deepslate_ore_aluminum,0,954
overworld,immersiveengineering:deepslate_ore_uranium,-64,4184
overworld,immersiveengineering:deepslate_ore_uranium,-48,5122
overworld,immersiveengineering:deepslate_ore_uranium,-32,4897
overworld,immersiveengineering:deepslate_ore_uranium,-16,4886
overworld,immersiveengineering:deepslate_ore_uranium,0,1320
overworld,immersiveengineering:ore_aluminum,-16,1
overworld,immersiveengineering:ore_aluminum,0,2418
overworld,immersiveengineering:ore_aluminum,16,3276
overworld,immersiveengineering:ore_aluminum,32,2403
overworld,immersiveengineering:ore_aluminum,48,1535
overworld,immersiveengineering:ore_aluminum,64,468
overworld,immersiveengineering:ore_aluminum,80,259
overworld,immersiveengineering:ore_aluminum,96,61
overworld,immersiveengineering:ore_uranium,-48,12
overworld,immersiveengineering:ore_uranium,-32,42
overworld,immersiveengineering:ore_uranium,-16,34
overworld,immersiveengineering:ore_uranium,0,3520
overworld,immersiveengineering:ore_uranium,16,4559
overworld,immersiveengineering:ore_uranium,32,14
overworld,mekanism:deepslate_osmium_ore,-48,474
overworld,mekanism:deepslate_osmium_ore,-32,4904
overworld,mekanism:deepslate_osmium_ore,-16,4742
overworld,mekanism:deepslate_osmium_ore,0,1389
overworld,mekanism:osmium_ore,-48,1
overworld,mekanism:osmium_ore,-32,25
overworld,mekanism:osmium_ore,-16,62
overworld,mekanism:osmium_ore,0,3567
overworld,mekanism:osmium_ore,16,4745
overworld,mekanism:osmium_ore,32,3702
overworld,mekanism:osmium_ore,48,2225
overworld,mekanism:osmium_ore,64,5
overworld,minecraft:andesite,-48,1350
overworld,minecraft:andesite,-32,18257
overworld,minecraft:andesite,-16,20419
overworld,minecraft:andesite,0,18757
overworld,minecraft:andesite,16,18832
overworld,minecraft:andesite,32,15199
overworld,minecraft:andesite,48,7139
overworld,minecraft:andesite,64,2485
overworld,minecraft:andesite,80,1445
overworld,minecraft:andesite,96,11
overworld,minecraft:basalt,-48,8216
overworld,minecraft:basalt,-32,78150
overworld,minecraft:basalt,-16,75302
overworld,minecraft:basalt,0,70954
overworld,minecraft:basalt,16,67503
overworld,minecraft:basalt,32,827
overworld,minecraft:coal_ore,-32,83
overworld,minecraft:coal_ore,-16,126
overworld,minecraft:coal_ore,0,17780
overworld,minecraft:coal_ore,16,26945
overworld,minecraft:coal_ore,32,19893
overworld,minecraft:coal_ore,48,10925
overworld,minecraft:coal_ore,64,3682
overworld,minecraft:coal_ore,80,1954
overworld,minecraft:coal_ore,96,339
overworld,minecraft:deepslate_coal_ore,-48,2664
overworld,minecraft:deepslate_coal_ore,-32,25253
overworld,minecraft:deepslate_coal_ore,-16,26520
overworld,minecraft:deepslate_coal_ore,0,7296
overworld,minecraft:deepslate_diamond_ore,-64,3973
overworld,minecraft:deepslate_diamond_ore,-48,4582
overworld,minecraft:deepslate_diamond_ore,-32,4359
overworld,minecraft:deepslate_diamond_ore,-16,4705
overworld,minecraft:deepslate_diamond_ore,0,1416
overworld,minecraft:deepslate_emerald_ore,-32,163
overworld,minecraft:deepslate_emerald_ore,-16,1939
overworld,minecraft:deepslate_emerald_ore,0,548
overworld,minecraft:deepslate_gold_ore,-64,5968
overworld,minecraft:deepslate_gold_ore,-48,6761
overworld,minecraft:deepslate_gold_ore,-32,6544
overworld,minecraft:deepslate_gold_ore,-16,6676
overworld,minecraft:deepslate_gold_ore,0,1912
overworld,minecraft:deepslate_iron_ore,-64,3436
overworld,minecraft:deepslate_iron_ore,-48,23359
overworld,minecraft:deepslate_iron_ore,-32,22498
overworld,minecraft:deepslate_iron_ore,-16,20438
overworld,minecraft:deepslate_iron_ore,0,5707
overworld,minecraft:deepslate_lapis_ore,-48,327
overworld,minecraft:deepslate_lapis_ore,-32,3796
overworld,minecraft:deepslate_lapis_ore,-16,3499
overworld,minecraft:deepslate_lapis_ore,0,1086
overworld,minecraft:deepslate_redstone_ore,-64,23651
overworld,minecraft:deepslate_redstone_ore,-48,27509
overworld,minecraft:deepslate_redstone_ore,-32,27117
overworld,minecraft:deepslate_redstone_ore,-16,26813
overworld,minecraft:deepslate_redstone_ore,0,7714
overworld,minecraft:diamond_ore,-32,14
overworld,minecraft:diamond_ore,-16,21
overworld,minecraft:diamond_ore,0,3223
overworld,minecraft:diamond_ore,16,24
overworld,minecraft:diorite,-48,1804
overworld,minecraft:diorite,-32,18102
overworld,minecraft:diorite,-16,18459
overworld,minecraft:diorite,0,20274
overworld,minecraft:diorite,16,20237
overworld,minecraft:diorite,32,12900
overworld,minecraft:diorite,48,9681
overworld,minecraft:diorite,64,2339
overworld,minecraft:diorite,80,940
overworld,minecraft:dirt,-64,29624
overworld,minecraft:dirt,-48,33162
overworld,minecraft:dirt,-32,35576
overworld,minecraft:dirt,-16,38191
overworld,minecraft:dirt,0,33594
overworld,minecraft:dirt,16,38559
overworld,minecraft:dirt,32,27052
overworld,minecraft:dirt,48,281954
overworld,minecraft:dirt,64,198716
overworld,minecraft:dirt,80,76838
overworld,minecraft:dirt,96,36274
overworld,minecraft:dirt,112,813
overworld,minecraft:dirt,128,472
overworld,minecraft:emerald_ore,-32,4
overworld,minecraft:emerald_ore,-16,11
overworld,minecraft:emerald_ore,0,1511
overworld,minecraft:emerald_ore,16,2136
overworld,minecraft:emerald_ore,32,1615
overworld,minecraft:emerald_ore,48,933
overworld,minecraft:emerald_ore,64,234
overworld,minecraft:emerald_ore,80,111
overworld,minecraft:emerald_ore,96,27
overworld,minecraft:gold_ore,-48,4
overworld,minecraft:gold_ore,-32,29
overworld,minecraft:gold_ore,-16,42
overworld,minecraft:gold_ore,0,4765
overworld,minecraft:gold_ore,16,6371
overworld,minecraft:gold_ore,32,4992
overworld,minecraft:gold_ore,48,17
overworld,minecraft:granite,-48,1473
overworld,minecraft:granite,-32,19503
overworld,minecraft:granite,-16,20109
overworld,minecraft:granite,0,35027
overworld,minecraft:granite,16,45447
overworld,minecraft:granite,32,28874
overworld,minecraft:granite,48,9223
overworld,minecraft:granite,64,2347
